,trueantecedents,trueconsequents,support,confidence,lift,leverage
128,[2801257],[6931514],0.0005811965811965812,1.0,975.0,0.0005806004821389437
67,[929823],[4980033],0.0007521367521367521,1.0,411.9718309859155,0.000750311052670027
5,[270789],[7351914],0.0007521367521367521,1.0,311.17021276595744,0.0007497196288991161
69,[989823],[4980033],0.0006837606837606838,1.0,411.9718309859155,0.0006821009569727518
91,[2266446],[7351914],0.0006495726495726495,1.0,311.17021276595744,0.0006474851340492366
240,[4472217],[7351914],0.0006837606837606838,1.0,311.17021276595744,0.0006815632989991964
432,"[3898011, 4440924]",[3968011],0.0006153846153846154,0.9473684210526316,79.39978887045694,0.0006076341588136461
242,[4552217],[7351914],0.0006153846153846154,0.9473684210526316,294.7928331466965,0.0006132970998612025
143,[3362422],[7351914],0.0005811965811965812,0.9444444444444444,293.8829787234042,0.0005792189349112425
251,[4752472],[4772472],0.0005128205128205128,0.9374999999999999,1523.4374999999998,0.0005124838921761999
77,[1751939],[1671939],0.0009572649572649573,0.9333333333333333,802.9411764705883,0.0009560727591496822
426,"[3898011, 3690654]",[3968011],0.0019487179487179488,0.9193548387096774,77.05194565116923,0.001923426985170575
449,"[6032521, 6072521]",[6062521],0.0006837606837606838,0.9090909090909092,830.9659090909091,0.0006829378332968076
396,"[1751939, 2141939]",[1671939],0.0006837606837606838,0.9090909090909092,782.0855614973264,0.0006828864051428154
379,[8032644],[8042644],0.000547008547008547,0.888888888888889,1000.0,0.0005464615384615385
436,"[4462521, 4142521]",[4512521],0.000547008547008547,0.888888888888889,928.5714285714287,0.0005464194608809994
331,[6510353],[6500353],0.000547008547008547,0.888888888888889,838.7096774193549,0.0005463563445101907
438,"[4142521, 4512521]",[4462521],0.000547008547008547,0.888888888888889,962.962962962963,0.0005464404996712689
79,[2141939],[1671939],0.0007863247863247863,0.8846153846153846,761.0294117647059,0.0007852915479582146
306,[6240353],[6250353],0.0005128205128205128,0.8823529411764707,921.7436974789916,0.0005122641537000512
