,sku,description,sku_x,description,sku,description,sku_x,description
0,2801257.0,BLUE    ,2801257.0,,6931514.0,BLUE    ,6931514.0,
1,929823.0,CELEBRT ,929823.0,,4980033.0,CELEBRT ,4980033.0,
2,270789.0,CELEBRT ,270789.0,,7351914.0,CELEBRT ,7351914.0,
3,989823.0,CELEBRT ,989823.0,,4980033.0,CELEBRT ,4980033.0,
4,2266446.0,CELEBRT ,2266446.0,,7351914.0,CELEBRT ,7351914.0,
5,4472217.0,CELEBRT ,4472217.0,,7351914.0,CELEBRT ,7351914.0,
6,3898011.0,CLINIQUE,3898011.0,CLINIQUE,3968011.0,CLINIQUE,3968011.0,
7,4552217.0,CELEBRT ,4552217.0,,7351914.0,CELEBRT ,7351914.0,
8,3362422.0,CELEBRT ,3362422.0,,7351914.0,CELEBRT ,7351914.0,
9,4752472.0,NOB     ,4752472.0,,4772472.0,NOB     ,4772472.0,
10,1751939.0,NOB     ,1751939.0,,1671939.0,NOB     ,1671939.0,
11,3898011.0,CLINIQUE,3898011.0,CLINIQUE,3968011.0,CLINIQUE,3968011.0,
12,6032521.0,NOB     ,6032521.0,NOB     ,6062521.0,NOB     ,6062521.0,
13,1751939.0,NOB     ,1751939.0,NOB     ,1671939.0,NOB     ,1671939.0,
14,8032644.0,NOB     ,8032644.0,,8042644.0,NOB     ,8042644.0,
15,4462521.0,NOB     ,4462521.0,NOB     ,4512521.0,NOB     ,4512521.0,
16,6510353.0,NOB     ,6510353.0,,6500353.0,NOB     ,6500353.0,
17,4142521.0,NOB     ,4142521.0,NOB     ,4462521.0,NOB     ,4462521.0,
18,2141939.0,NOB     ,2141939.0,,1671939.0,NOB     ,1671939.0,
19,6240353.0,NOB     ,6240353.0,,6250353.0,NOB     ,6250353.0,
20,6240353.0,NOB     ,6240353.0,,6230353.0,NOB     ,6230353.0,
21,7638632.0,NOB     ,7638632.0,,7648632.0,NOB     ,7648632.0,
22,6230353.0,NOB     ,6230353.0,,6250353.0,NOB     ,6250353.0,
23,1671939.0,NOB     ,1671939.0,NOB     ,1751939.0,NOB     ,1751939.0,
24,4456421.0,NOB     ,4456421.0,,4206421.0,NOB     ,4206421.0,
25,4142521.0,NOB     ,4142521.0,,4512521.0,NOB     ,4512521.0,
26,4142521.0,NOB     ,4142521.0,,4462521.0,NOB     ,4462521.0,
27,2726578.0,CLINIQUE,2726578.0,CLINIQUE,3998011.0,CLINIQUE,3998011.0,
28,8956048.0,NOB     ,8956048.0,,8616048.0,NOB     ,8616048.0,
29,6570353.0,NOB     ,6570353.0,,6560353.0,NOB     ,6560353.0,
30,366422.0,NOB     ,366422.0,,7076422.0,NOB     ,7076422.0,
31,2141939.0,NOB     ,2141939.0,,1751939.0,NOB     ,1751939.0,
32,7583724.0,INVEST  ,7583724.0,,2313723.0,INVEST  ,2313723.0,
33,917171.0,NOB     ,917171.0,,887171.0,NOB     ,887171.0,
34,6270353.0,NOB     ,6270353.0,,6290353.0,NOB     ,6290353.0,
35,6372521.0,NOB     ,6372521.0,,6412521.0,NOB     ,6412521.0,
36,6072521.0,NOB     ,6072521.0,,6062521.0,NOB     ,6062521.0,
37,3988011.0,CLINIQUE,3988011.0,CLINIQUE,2716578.0,CLINIQUE,2716578.0,
38,6032521.0,NOB     ,6032521.0,NOB     ,6072521.0,NOB     ,6072521.0,
39,4772472.0,NOB     ,4772472.0,,4752472.0,NOB     ,4752472.0,
40,5648642.0,MAI     ,5648642.0,,5598642.0,MAI     ,5598642.0,
